product_id,date,customer_name,rating,sentiment,comment
102464128_BD-1016628851,4/20/2021, S***J,1,negative,খুব বাজে দামটাও অনেক বেশি
102464128_BD-1016628851,12/17/2019, J***n,1,positive,চমৎকার একটি প্রোডাক্ট  
102464128_BD-1016628851,12/29/2019, Sobuj M ,1,negative,দামটা অনেক বেশি
102464128_BD-1016628851,5/18/2019, Faiaz I ,1,negative,যে কালার অর্ডার করছি আসছে অন্য কালার 
102464128_BD-1016628851,5/18/2019, Faiaz I ,1,negative,কি আর বলতে পারি এই সার্ভিসের ব্যাপারে আর সময় যে তারিখে দাওয়ার কথা দিয়েছে তার  দিন পর ডেলিভারি
102464128_BD-1016628851,11/20/2021, Rezaul K ,1,negative,বেল্টা মাঝখানে ছেড়েছিল খুব বাজে  চেক না করে পাঠিয়েছি
102464128_BD-1016628851,12/18/2019,m***,2,negative,দাম অনুসারে প্রডাক্ট এত ভাল না বেল্ট অনেক শক্ত ভালো মনে হয় নি
102464128_BD-1016628851,1/9/2020,H***,5,positive,পন্য টা সত্যি খুব ভালো একটো ভয়েই ছিলাম যে কেমন হবে হাতে পাবার পরে দেখলাম পন্য টা সত্যি ভালো
102464128_BD-1016628851,1/14/2022,1***7,5,positive,চমৎকার একটি প্রোডাক্ট  বেস্ট কোয়ালিটি  যেমন চেয়েছিলাম সেলার তেমনটাই পাঠিয়েছে
102464128_BD-1016628851,1/14/2022,1***7,5,positive,খুব তাড়াতাড়ি হাতে পেয়েছি ধন্যবাদ দারাস টিমকে
102464128_BD-1016628851,10/4/2021,Al-Amin K,5,positive,নিঃসন্দেহে যে কেউ নিতে পারেন ধন্যবাদ সেলার কে  ধন্যবাদ দারাজ কে 
102464128_BD-1016628851,12/5/2021,B***,5,positive,দাম হিসাবে প্রোডাক্ট এর কোয়ালিটি অসাধারণ
102464128_BD-1016628851,12/5/2021,B***,5,positive,সময় মত প্রোডাক্ট ডেলিভারি পেয়েছি
102464128_BD-1016628851,12/8/2021,Md S,5,positive,খারাপ না 
102464128_BD-1016628851,12/8/2021,Md S,5,negative,একেবারে খুব ভালো বলতে পারছি না 
102464128_BD-1016628851,12/8/2021,Md S,5,negative,দাম হিসাবে এতো টা ভালো মনে হয় নাই  থিকনেস টা আর একটু ভালো হইলে আরো ভালো হইতো
102464128_BD-1016628851,4/17/2020,N***t,5,positive,প্রডাক্ট অনেক ভালো লেগেছে ম্যটেরিয়াল নাইলন কোয়ালিটি সুন্দর
102464128_BD-1016628851,8/2/2021,Jahidur R,5,positive,খুবই প্রিমিয়াম ও সুন্দর একটা বেল্ট
102464128_BD-1016628851,7/26/2020,Ashraful P,5,positive,প্রোডাক্ট কোয়ালিটি অনেক ভালো এটা যে স্টিজ তা জানা ছিল না ঠিক ভাবে ইউজ করলে / বছর অনাহাসে চলে যাবে 
102464128_BD-1016628851,12/29/2021,SHAHIN I,5,positive,অনেক ভালো মানের একটা বেল্ট
102464128_BD-1016628851,12/8/2020,hridoy,5,positive,বাহ্ ভালো মানের ঐ একটা বেল্ট পেয়েছি একটু ভাবনায় ছিলাম প্রথম অর্ডার কি না কি হয়   ধন্যবাদ দারাজ ও দারাজ সেলার ভাইকে
102464128_BD-1016628851,9/23/2020,1234rasel,5,positive,মান ভালোই তিন চার বছর এমনিতেই ব্যাবহার করা যাবে 
102464128_BD-1016628851,9/23/2020,1234rasel,5,negative,দামটা একটু বেশি
102464128_BD-1016628851,10/31/2019,Mh K,3,positive,খারাপ না মোটামুটি চলে 
102464128_BD-1016628851,10/31/2019,Mh K,3,negative,দাম অনেক বেশি এই দামে অরিজিনাল চামড়ার বেল্ট পাওয়া যায়
102464128_BD-1016628851,1/15/2020,K***,3,negative,ছবি এবং প্রোডাক্ট এক রকম না দামের তুলনায় প্রোডাক্ট এর মান তেমন ভালো না
102464128_BD-1016628851,12/29/2019,S***,3,negative,বেল্ট আরও মোটা হওয়া উচিত ছিল  কোয়ালিটি মোটামুটি  দাম কমালে ভালো হবে
102464128_BD-1016628851,6/8/2020,Khandaker M,3,positive,ভালো প্রডাক্ট 
102464128_BD-1016628851,6/8/2020,Khandaker M,3,negative, না দিয়ে ব্লু দিয়েছে  প্রডাক্ট হিসেবে দাম যথেষ্ট বেশি দাম  এর ভেতর হলে বেটার
QK730EL0CX5AKNAFAMZ-1290245,5/5/2021, M***N,1,negative,দুই মাস ব্যবহার করার পর নষ্ট হয়ে যায় তারের কয়ালেটিটাও ভাল ছিল না সাউন্ড কয়ালেটি এভারেজওক্সপেরিয়ান্স একদমও সুবিধার ছিল না 
QK730EL0CX5AKNAFAMZ-1290245,12/22/2019, S*** ,1,negative,খুবই হতাশ হলাম  আপনাদের উচিত প্যাকেটিং করার সময় এই বিষয়গুলো লক্ষ করা
QK730EL0CX5AKNAFAMZ-1290245,12/9/2020, I*** ,1,negative,হেডফোনে কোনকিছু না বাজিয়ে লাগিয়ে রাখলেও একটু পরপর কটকট শব্দ হয়শুনতে খুব বেশী খারাপ লাগে হেডফোনটা নিয়ে মনটা খারাপ হয়ে গেল
QK730EL0CX5AKNAFAMZ-1290245,6/27/2021, Hridoy C ,1,negative,বাম কানে শব্দ শোনা যায় না এবং কোনো ইনভয়েস দেয় নাই সেল করার আগে সেলারের উচিত একবার চেক করে দেখা
QK730EL0CX5AKNAFAMZ-1290245,8/17/2021, p*** ,1,negative,হেডফোনের কাভার আছে কিন্ত ভিতরে হেডফোন নাইমানে বুঝতেছে কত বড় প্রতারক আপনারা ফালতু কোথাকার
QK730EL0CX5AKNAFAMZ-1290245,10/17/2021, MD  K ,1,negative,একটা কানের বাড ও নাইএক্সট্রা কোনো বাডের প্যাকেট ও দেয়া হয় নাই
QK730EL0CX5AKNAFAMZ-1290245,6/20/2020, Azizul R ,1,negative,এক কানের সাউন্ড চলে গেছে  দিন ইউজ করছি অনলি
QK730EL0CX5AKNAFAMZ-1290245,6/9/2021, 1***4,1,negative,কি আর বলমো খুব বাজে একটা অভিজ্ঞতা পেলাম
QK730EL0CX5AKNAFAMZ-1290245,10/19/2020, n*** ,1,negative,বাজে ইয়ারফোন  টাকা হূদাই ফালাইলাম  বাম কানের ইয়ারপিছে কন্টিনিউ গের গের  সসসসস আওয়াজ করে ফালতু জিনিস এর চেয়ে  টাকার ইয়ারফোন অনেক ভালোসেলারকে বলছি এটা কি চেঞ্জ করে দেওয়া যাবে
QK730EL0CX5AKNAFAMZ-1290245,12/30/2020, Fazla R ,1,negative,বুঝলামনা ভাই ওর্ডার দিলাম টাইপ সি পাঠাইলেন এইযে রিটার্নে আমার যে হ্যাসেলটা হবে এটার দায়ভার কে নিবে
QK730EL0CX5AKNAFAMZ-1290245,7/4/2020, A*** ,1,negative,এখন পর্ষন্ত এই মডেলের ইয়ারফোন তারা সেল করেছে  টি এত সেলিং টপ রিভিউ ইউস রিভিউ দেখে যদিও ইউস রিভিউ অনেক পজেটিভ এবং নেগেটিভ দিক মিক্সড ছিল অনেক আশা নিয়ে গত // ইং তারিখে পণ্যটি অর্ডার করিআজ // ইং তারিখে পণ্য রিসিভ করিতাই ফাস্ট ডেলিভারির জন্য দারাজকে অনেক ধন্যবাদ রেটিংঃ/ পণ্যটির প্যাকেজিং ছিল খুবই সাধারন মানেররেটিংঃ/ পণ্যটি আনবক্সিং করে যখন চেক করি তখন পুরাই হতাশ হলামএত বাজে সাউন্ড সাধারনত  টাকার একটা ইয়ারফোনেও থাকে নামনে হয় কানে পাতিলে ঢোল বাজালে যেমন আওয়াজ আসে তেমন শোনা যায়আমি অনেক ইয়ারফোন ইউস করেছিএত বাজে সাউন্ড কোয়ালিটি পাইনিএই সেলারকে সবাই বয়কট করুনআমি চাই না কেউ তাদের টাকাগুলো জলে ফেলুকআমি এটি রির্টান করবো এবং দারাজকে আন্তরিকভাবে রিকোয়েস্ট করছি এমন সেলারদের সাথে কথা বলুনদারাজের প্রতি আমাদের বিশ্বাস ভালবাসা এমন সেলারদের কারনে যেনো নষ্ট না হয়দারাজকে বিনীতভাবে অনুরোধ করছি যেনো রির্টান পলিসির টাইমটা আরো শর্ট করার ধন্যবাদ
QK730EL0CX5AKNAFAMZ-1290245,8/14/2021, Najat A ,1,negative,নষ্ট এবং পুরাতন প্রডাক্ট দিয়েছে
QK730EL0CX5AKNAFAMZ-1290245,7/4/2020, A*** ,1,positive,গত // ইং তারিখে অর্ডার করে // ইং তারিখে রিসিভ করিফাস্ট ডেলিভারিঃ/
QK730EL0CX5AKNAFAMZ-1290245,12/29/2020, 0***7,1,negative,যারা আগে এই এয়ারফোনটি ব্যাবহার করছেন তারই বুঝতে পারবেন এটা কফি আগের টার চাইতে এই ইয়ারফোনের সাউন্ড কোয়ালিটি অনেক খারাপ 
QK730EL0CX5AKNAFAMZ-1290245,7/6/2021, Tawhid D ,1,negative,নকল নকল নকল কি আর বলবো নকল প্রডাক্ট না দিলেউ পারতো  আমি আগেরটা থেকে কিনছিলাম অরজিনালটা অইটার সাথে সাউন্ড মিল ই পাইলাম না দারাজের কাছ থেকে এমনটা আসা করি নাই 
QK730EL0CX5AKNAFAMZ-1290245,4/22/2021, Rasel,1,negative,প্যাকেজিং এর অবস্থা খুবই নিম্নমানের ঘন্টা খানেকের মত ব্যবহার করলে কান ব্যথা শুরু করে
QK730EL0CX5AKNAFAMZ-1290245,6/26/2020, Raiyat S ,1,negative,বুঝলাম না অর্ডার করালাম পেলাম  দাম দুইটারই একই তারপরও যে ভুলবাল জিনিস দিয়া কি যে মজা পায় হেরা এইজন্য দারাজে মানুষ কিছু অর্ডার কর তে চায় না দারাজকে এই ব্যাপারে সচেতন হওয়া উচিত 
QK730EL0CX5AKNAFAMZ-1290245,6/25/2021, Protima R ,1,negative,ইয়ারফোন কানেক্ট করার পর ফোন একা একা কাজ করা শুরু করে প্রোডাক্ট রিটার্ন করেছি আশা করি তাড়াতাড়ি টাকা ফেরত পেয়ে যাবো
QK730EL0CX5AKNAFAMZ-1290245,4/17/2021, Md A ,1,negative,আসল নকল বোঝার উপায় নেই স্থানিয় দোকানে যেরকম দেখেছিলাম ততটা ভাল নয়
QK730EL0CX5AKNAFAMZ-1290245,12/30/2020, 1***1,1,negative,নিসি দুইমাস হইলো  বছর এর ওয়ারেন্টি দেয়া ছিলো  এখন একপাশের হেডফোন নস্ট হইয়া গেসে এখন আমি ওয়ারেন্টি কিভাবে পাবো জানাবেন
QK730EL0CX5AKNAFAMZ-1290245,8/24/2020, Robi P ,1,negative,হেডফোনে কোয়ালিটি খুবই বাজে দুই সপ্তাহের মধ্যে নষ্ট হয়ে গিয়েছে একা মাঝে মাঝে বাজে অন্য কানের কোন রেসপন্স নাই ফেরত দিবার কোন ব্যবস্থা আছে কি
QK730EL0CX5AKNAFAMZ-1290245,6/23/2020, Sabbir M ,1,negative,আমার কাছে এইটা অরিজিনাল মনে হচ্ছে না পেছনের দুই অংশ একোসাথে লাগছে না সাউন্ড কুয়ালিটিও খুব বেশি ভালো লাগছে না কোনভাবেই আগের ডিএম- এর মতো হচ্ছে না
QK730EL0CX5AKNAFAMZ-1290245,6/13/2020, Sunvy S ,1,negative,বালের ইয়ারফোন ডান কানের সাউন্ড বাম কানে আর বাম কানের সাউন্ড ডান কানে শুনা যায় অরিজিনাল প্রোডাক্ট না কেউ কিনবেন না এটা 
QK730EL0CX5AKNAFAMZ-1290245,3/30/2020, s*** ,1,negative,ফেইক আইটেম দিয়েছে একটা তে আবার সুপারগ্লু লাগানোর দাগ দেখলাম আসলটায় মাইক্রোফোন লেফট এ থাকে  নকল টায় রাইটে এই প্রতারকদের কাছ থেকে কেনাই ভুল হয়েছে
QK730EL0CX5AKNAFAMZ-1290245,11/9/2019, Encrypted P ,1,negative,অর্ডার দিছিলাম  টা ভালমতই আসলো সব ঠিক ও ছিল দুই মাসের মাথায় ই নষ্ট হয়ে গেল একটা ওরপরে অন্যটা বের করে ইউজ করা শুরু করলাম যতটা সাবধানে করা যায় ফলাফল সেই  মাসের মাথাতেই নষ্টজানিনা কিভাবে কি সেট করে রাখেন যে  মাসের মাথায় ই বারোটা বেজে যায় সবার পরিশ্রমের টাকা ই এভাবে মারা উচিত না
QK730EL0CX5AKNAFAMZ-1290245,9/5/2020, Md A ,1,negative,প্রথম কিছুদিন ভালো শুনা গেলোতার পর  দিন পর থেলেই চের চের শব্দবালের হেডফোন
QK730EL0CX5AKNAFAMZ-1290245,6/16/2020, tahmid H ,1,negative,বাজে একটা হেডফোন দেওয়া হইছে যেমনটা চাইছি তেমন দেয়া হয় নাই
QK730EL0CX5AKNAFAMZ-1290245,7/29/2019, Ali M ,1,positive,একদম চিকন টাইপের মোটামুটি ভালো
QK730EL0CX5AKNAFAMZ-1290245,7/18/2020, Mohammad  ,1,negative,ইয়ারফোন লাগাইলে মেবাইলের সাউন্ড আটো কমে যায়
QK730EL0CX5AKNAFAMZ-1290245,5/12/2020, RxV A ,1,negative,বাম কানে কম শুনা যাচ্ছে 
QK730EL0CX5AKNAFAMZ-1290245,5/28/2020, M*** ,1,negative,আসল ইয়ারফোন না  মাস্টার কপি অর্থাৎ  নকল
QK730EL0CX5AKNAFAMZ-1290245,8/23/2020, Shanaz P ,1,negative,এক সপ্তাহ ব্যবহার করার পর দুই কাম নষ্ট
QK730EL0CX5AKNAFAMZ-1290245,3/8/2021, Rifat M ,1,negative,একদম বাজে  মাইক্রোফোন কাজ করেনা  নষ্ট
QK730EL0CX5AKNAFAMZ-1290245,2/12/2021, 1***6,1,negative,এত্ত বাজে  টা মাসও ইউজ করতে পারিনাই
QK730EL0CX5AKNAFAMZ-1290245,7/13/2020, Partha O ,1,negative,আগের তুলনায় ডিউরাবিলিটি অনেক কম
QK730EL0CX5AKNAFAMZ-1290245,7/15/2020, Sobuj K ,1,negative,খুবি খারাপ 
QK730EL0CX5AKNAFAMZ-1290245,4/9/2022, Kibria K ,1,negative,অন্য হেডফোন দিয়ে দিয়েছেন
QK730EL0CX5AKNAFAMZ-1290245,7/7/2021, Tarikul I ,1,negative, মাসেই নষ্ট হয়ে গিয়েছে
QK730EL0CX5AKNAFAMZ-1290245,6/25/2020, Sayad A ,1,negative,ভাই অর্ডার দিলাম একটা ভিতরে দেখি আরেকটা
QK730EL0CX5AKNAFAMZ-1290245,6/4/2020, Abdullah A ,1,negative,এক কানে শোনা যায়না
QK730EL0CX5AKNAFAMZ-1290245,7/13/2020, Partha O ,1,negative,ডিউরাবিলিটি অনেক কম
